"","TGF","TNF","TGF","TNF","TGF","TNF","TGF","TNF","TGF","TNF","TGF","TNF","TGF","TGF","TGF","TGF","TNF","TNF","TNF","TNF","TGF","TGF","TGF","TGF","TGF","TNF","TNF","TNF","TNF","TNF","TGF","TGF","TGF","TGF","TGF","TNF","TNF","TNF","TNF","TNF","TGF","TGF","TGF","TGF","TGF","TNF","TNF","TNF","TNF","TNF","TGF","TGF","TGF","TGF","TGF","TNF","TNF","TNF","TNF","TNF"
"AFFX-HUMRGE/M10098_5_at",-0.234316006886156,-0.196535296828193,-0.217934601579454,-0.287231804238802,-0.19324313712266,-0.243573499349507,-0.233837552857977,-0.23844389971479,-0.225425527277114,-0.234443302393164,-0.075319179678808,1.22762876710457,-0.0711611682093324,-0.102555421341917,-0.124939382708482,3.23552006929245,-0.0444965803954935,-0.104810713421575,-0.0549285579949771,-0.131298366482752,1.36554310742351,1.50758799656191,10.8873599640227,8.15231313346688,11.01585446684,3.16256667755195,12.3470063911549,11.8112901010692,9.21342287325019,11.2215425716916,11.4817144301392,11.6433918955462,9.93065920501348,12.3514747569499,2.0982246493858,11.6230236767198,8.78235184258804,1.18822297244416,10.0302547042923,10.1898149963829,11.226206445977,10.2663324347829,12.4209771180933,8.59529658426186,12.2257291798128,7.12522423495332,10.8272595123307,11.8612942913802,1.98927761495125,10.66439435996,3.25877359706656,12.6590969706317,5.42796162026371,6.31016009289092,11.9700100515011,12.5311698457372,11.1798360574218,11.7310796589099,11.297508062968,1.20616320270053
"206026_s_at",0.55418920261323,1.01070396767403,0.666165906732478,5.3232434453448,0.262528625223639,6.18494505155182,2.42347853837553,7.6518160861913,3.27716323819915,7.73674631265442,0.897580728725745,1.12882860927671,0.506688670624053,1.65195794804787,6.74592331777759,7.58295990081925,4.49226405085393,9.33931833397282,11.2842424036044,10.7092305714243,0.479616734924794,1.36338170619746,4.05709460545435,5.65197105004077,0.558187713176321,9.46003282100959,10.8832703408264,11.2643298008081,11.3399093641023,0.439884603746031,-0.0334677113801829,0.019446308943821,2.28018811408382,12.8172960322543,-0.0116224431115139,6.13826851846472,9.7745111370102,10.7568652633644,3.1145446126059,-0.0690866670488314,0.552417795588616,1.04930596627573,3.96840467220631,4.97305746877615,0.739538945834843,7.01301103302212,10.0960340345399,11.5266321276693,10.9301959288226,0.951678611053775,-0.0717991970028073,0.0179137112452715,0.911378358172937,2.37597509355551,0.0157496869531812,6.19014230366461,9.5057057825654,11.1916629629959,11.6418966096599,0.0237543624939209
"209101_at",8.23978447342517,7.38795472636421,9.72944158408638,8.7748019764291,7.66059991338912,7.17223637961026,8.65201732729356,1.51723172885834,12.8055116502482,1.656358971647,8.05625297363463,7.5667197090901,9.20378941497202,10.5430346091011,10.7562782712217,10.359023901251,7.99381607834541,5.96577550461641,1.52642880432085,2.20265855244584,8.52761599275039,10.0944873270018,12.3533902767538,14.013490361898,4.42250984075203,5.05019770456532,3.89759906876274,1.75803961327186,1.48601006336841,4.73225259033017,6.24378198314826,7.2583158217703,8.92282613536208,-0.168821624033966,3.88517818163001,4.08734725739541,3.58124205530885,0.309821087403877,10.508221236499,3.53689798096963,6.47314252320829,8.83146678896347,11.2351532229709,12.7644230938169,4.83771438357476,4.1557373320209,3.83027892634004,1.09367963700881,0.0145955970466129,3.2321460239896,11.1061889229882,11.8693216655198,12.623092881503,13.6231358059009,8.74390898883927,9.15165726896183,7.90196416713922,4.471509719485,1.99823875462797,9.06398493321812
"227404_s_at",8.99556763039547,6.11240463925552,7.76201207931061,12.1799759565433,2.35588871489783,5.84306612932563,1.02591478271916,1.7772963807803,1.37629531435967,0.582441777457521,5.51661301987099,5.89789847946498,6.94998159494939,5.15176426807164,3.0881607747573,1.26955956624592,9.24430781284276,4.95412701656853,1.88717871827825,2.92036780558482,5.69323031376041,2.55885038199287,1.570385791817,0.893576355815807,5.84153618000307,11.4192466284494,3.66964802885207,1.68937872083565,0.525852382057046,6.67894912654376,9.02724525869801,4.2766985876494,0.103234074267649,0.208784015031655,10.9271744625522,11.9576406367595,5.75243424500343,0.0343933428042501,1.26612744650162,7.97837551338073,7.40188845555718,2.10115883817352,0.313243906171581,0.860246321740382,10.9595702470953,10.4035149106421,4.05889337353751,0.235302881311678,0.0194131669333477,5.03670037680408,9.11316235890842,2.90858086140367,0.115131575338835,0.464937443776542,7.61294617938426,10.9988140129454,3.39796255029509,0.269372393664194,0.216907089873173,7.71746558649086
"202310_s_at",4.84024844344888,5.6800280121862,5.9253662628333,6.05907974285007,5.39542633489368,4.72995197871605,6.80616875756523,4.48874645922526,9.37291989340891,4.96382150532278,0.791425098695473,0.836129857005382,1.34922557828578,1.71937696626146,1.67939437844188,7.6340132528065,0.577917991997832,0.536592751109573,0.464273605774652,0.377463377301951,3.40506250901516,3.87396646597384,5.86528545653866,8.24489216867833,2.76993942621329,2.28290581943869,2.29698553092246,2.75502133606084,2.37507519521435,2.56256213052724,4.48233551696061,5.25050015459359,5.56542891747712,2.62011649137327,4.1054254707841,3.86167017316087,4.04972759211263,3.48633502151905,8.44174228688761,4.43152972307746,8.81665262747446,8.97047601608849,8.52398916399808,11.0993019088199,9.84539990822231,8.35749833766697,6.00025752067378,5.33379738795446,3.94651507810715,8.39665800308101,10.2871174905636,9.42445660506341,10.6260964635214,11.9197239555411,9.9933587504002,8.76356517765451,10.7209281755376,8.34942275755556,6.45662299356947,8.54791273640149
"206025_s_at",0.6231503946041,0.566547458789569,0.800335600448343,7.2677416600058,1.09094915268694,9.6569259757637,3.88497179437092,12.8091428792364,5.2525404615307,14.427666313501,0.567941235901305,0.771745804727787,0.270751786281976,1.00923760531349,5.69507575373982,6.34218111412911,4.38815160788798,10.3422614446059,12.9507706930763,11.5194123505953,0.211807381972944,0.717559532101242,2.84322076252401,3.86013438504044,0.292128621318408,9.55260940397243,11.799091096549,13.2562266457554,12.3570911071819,0.139784114875901,-0.0992746029760742,-0.065752912781473,1.20506866259816,15.2999484049422,-0.0748464884085119,6.03716310543894,10.7184683604483,14.9876635832657,2.03110870257354,-0.164731582738954,0.478890008977809,0.483092947052183,2.07028614911076,3.00936941266018,0.374759037972839,5.60187513409624,10.3032352382922,13.5212791305359,13.7451762900233,0.496647280046084,-0.138905403581059,-0.110973450353132,0.482051897724925,1.23167672012725,-0.0962296469278818,4.99411029430875,9.61041618502351,13.0022393919324,13.6557398880017,-0.0773632392553591
"212143_s_at",11.1878468700738,10.2714961570029,10.6600379910147,10.4075838321511,11.1611138108103,11.3785887565923,10.5869172537991,10.9915553057603,9.58474215090874,10.0784692302749,12.657178491524,12.6413148717171,12.4337168195384,12.5122269967762,12.0505379951578,10.4080260024887,13.1689356418528,12.2128911905799,12.9143309408507,10.7998162226131,6.97416795066645,7.08738319307549,7.28801560981735,5.38049532843038,7.27603837879586,7.01443447908069,6.80664641675953,7.21444316111302,5.4695486507283,7.1671700957289,7.39841628652824,7.37915692972023,7.30648619331455,5.54958238760896,7.35356324666423,7.51668840578344,7.1792785553751,6.30080352265464,5.6561246830735,7.68017415227764,6.80395638074794,6.63019744179941,5.93947828535157,4.37080920985742,6.82784006828497,5.9414971505724,5.81346278942707,5.79278733783946,4.77599137151247,5.77371857776262,11.0725289511058,11.2435280006376,11.4487842354586,9.62583950504359,11.5633737569671,11.1668437664303,11.0526565477695,11.2450809270573,8.6555632365098,11.1414213368573
"205200_at",3.88853709387045,2.28431780697641,2.57837700257941,3.92615142449448,4.32818322948233,3.29750981684623,2.47684401970803,3.40424573950563,2.6171087374175,2.4016884359555,8.42884535874781,7.93152204954146,8.30552108518441,8.63702608908973,7.95967884835889,6.55140869057686,7.86879736939984,8.11934902394604,7.70766074074425,7.1805788806295,7.84473464578241,7.26974586953116,7.65071024440573,6.59397391436016,7.24375117944733,6.68207538024577,6.7616900202689,6.99905745093466,6.37901914531853,7.12856253817161,5.09593446715231,4.94160834594663,4.91493758418509,3.79784445863479,5.08284527932268,5.63894218927977,4.68773555944348,5.13277226101474,4.60491669125772,5.7453621674976,2.32548813333033,2.19964513608549,2.02813154051642,2.12447848541393,2.08565757026853,2.44300515282146,2.24259341026954,1.81497528408562,1.73318474729627,2.66870064039666,1.13689767841723,1.04582993325989,1.14532819973604,1.1125513574544,0.782088936630048,1.07814479377272,1.14874311193831,1.06046752025354,1.0712187672368,1.09049431642374
"227099_s_at",0.448167908884132,0.419461331077678,0.651755339049886,3.49630856840085,0.869163621441539,4.50109431066084,1.2629476221971,4.62213947302861,0.381690436642231,4.71895419995764,0.957475421814475,1.05070401159408,0.585003754119357,3.22745684532385,4.86750480336257,0.269278534095724,2.97194820301368,6.5215131134685,7.81033146835096,6.45542390974805,1.68385904339756,3.86248194959463,4.6629620427406,2.56420678876656,1.55815212891211,7.53693304692365,8.55931943830355,8.33140253162927,8.25628907682569,1.51880482188554,0.61705833239477,1.59247150930298,3.02561624305431,9.84745020167434,0.886684651105638,5.5785314265207,8.85276467177066,9.47710836324802,1.39866864041179,0.533662168925302,0.304156927271248,1.26112486856576,3.95582867235445,1.3265462729617,0.0593175261615356,4.5767957290791,8.20535693201432,9.5750604528052,9.08723447415301,-0.00578188532539658,0.523599177773223,1.75158674897305,4.52414211622196,2.21782232497679,0.428248875441199,4.55492960604299,8.05383060848212,9.35016984897729,10.0666351793075,1.02115853437826
"224559_at",0.0877857027136909,-0.137065631543755,-0.0625767785176538,-0.16692142805729,0.220962678939073,-0.140529171202189,-0.101702638372258,0.056437420781948,0.298571407566587,-0.224391113529142,2.70366575674554,3.09010104808798,4.47849414940423,1.0634666096072,3.47933745076448,4.1771239341698,1.64428226335365,2.55726670955632,1.06948593725507,6.29492210772829,5.14931936396388,6.06432122152943,4.23416398603288,4.34326724874656,5.70296046309113,5.94168270050255,6.29609652054835,4.9556486717479,4.45678162331035,6.71965531422132,7.19356536354184,6.94284299503781,5.3967494445548,6.98318721331336,3.83936162810477,3.44625799507332,2.04643140685718,4.47360493357139,4.40262660939206,7.32811715911101,2.65312713029577,2.81377020394,1.192374177634,-0.0247798260090919,2.57531282162131,1.73971129150397,0.940412643873225,0.791990268269659,0.752033436805717,1.88806196418451,1.51952722704064,2.23074870078171,3.6459155082465,5.54062493396985,5.36119096006356,4.08674962549039,4.82729590162697,4.36015908851729,4.77547177126565,0.805959555102747
